arm	seed	cat	reg	wall	rc	rundir
base	0	64.5332	69.6914	551	0	mtlnet_lr1.0e-04_bs8192_ep50_20260701_222651_1667102
aligned	0	61.4822	69.0519	739	0	mtlnet_lr1.0e-04_bs8192_ep50_20260701_223602_1669039
derange	0	64.6039	69.7589	741	0	mtlnet_lr1.0e-04_bs8192_ep50_20260701_224821_1670589
alcond	0	61.6728	70.0506	798	0	mtlnet_lr1.0e-04_bs8192_ep50_20260701_230042_1671988
cond	0	64.5312	69.7901	562	0	mtlnet_lr1.0e-04_bs8192_ep50_20260701_231400_1673973
base	1	64.6108	69.8067	559	0	mtlnet_lr1.0e-04_bs8192_ep50_20260701_232322_1675214
aligned	1	61.4879	69.2742	741	0	mtlnet_lr1.0e-04_bs8192_ep50_20260701_233241_1677707
derange	1	64.5518	69.9417	739	0	mtlnet_lr1.0e-04_bs8192_ep50_20260701_234502_1679103
alcond	1	61.4680	69.5545	751	0	mtlnet_lr1.0e-04_bs8192_ep50_20260701_235722_1680605
cond	1	64.5702	70.0331	562	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_000953_1682156
base	7	64.5830	69.7942	555	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_001915_1683430
aligned	7	61.6389	69.2585	735	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_002830_1684608
derange	7	64.5229	69.8440	740	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_004045_1685994
alcond	7	61.5214	69.5990	753	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_005305_1687501
cond	7	64.4149	69.9551	562	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_010538_1688982
base	100	64.6919	69.9710	555	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_011501_1690228
aligned	100	61.7089	69.2900	737	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_012415_1691416
derange	100	64.5841	69.8661	739	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_013633_1692808
alcond	100	61.6138	69.5589	754	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_014853_1694250
cond	100	64.5811	69.6170	562	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_020127_1695737
